CATEGORIA,ELEMENTO,CANTIDAD,UBICACION,LINK_REFERENCIA,OBSERVACIONES
Compuesta Logica ,Compuerta Logica Nand 74Ls00,55,Gabinete Parte Superior,https://www.vistronica.com/componentes-activos/familias-logicas/compuerta-logica-nand-74ls00n-detail.html,
Compuesta Logica ,Compuerta Logica Nor 74Hc02,10,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Compuesta Logica ,Compuerta Logica Not 7404,40,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Compuesta Logica ,Compuerta Logica Or 74Ls32,50,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Compuesta Logica ,Compuerta Logica Xor Cd4070,50,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Compuesta Logica ,Compuerta Logica Xnor Cd4077,30,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Compuesta Logica ,Compuerta Logica Yes 74Ls07,25,Gabinete Parte Superior,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 101-100Pf,360,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 102 -1000Pf,300,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 103 10000Pf,360,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 104 10000Pf,358,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 22 22Pf,160,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 33 33Pf,259,Nan,SIN ENLACE DE REFERENCIA,
Condensador Ceramico,Condensador Ceramico 47 47Pf,257,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrico,"Condensador Electrico 0,33 Uf 50V",140,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrico,Condensador Electrico 47Uf 50V,170,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,Condensador Electrolico 1000 Uf 50V,138,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,Condensador Electrolico 10Uf 50V,235,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,Condensador Electrolico100 Uf 50V,148,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,Condensador Electrolitico 1Uf 50V,276,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,"Condensador Electrolico 0,47Uf 50V",148,Nan,SIN ENLACE DE REFERENCIA,
Condensador Electrolico,"Condensador Electrolitico 0,22 Uf 50V",60,Nan,SIN ENLACE DE REFERENCIA,
